"freq_bin","magnitude"
0.0,6568448.03425
3.6321371495e-07,28309.7498125
7.264274299e-07,52984.3378749
1.08964114485e-06,36726.9276993
1.4528548598e-06,9685.23271118
1.81606857475e-06,35450.3193454
2.1792822897e-06,17774.6657358
2.54249600465e-06,7853.03840084
2.9057097196e-06,3605.29014763
3.26892343455e-06,9905.81811734
3.6321371495e-06,12541.8366244
3.99535086445e-06,5507.53547406
4.3585645794e-06,4808.14618729
4.72177829435e-06,8752.84260996
5.0849920093e-06,12539.1810195
5.44820572425e-06,6467.75279519
5.8114194392e-06,6863.00725355
6.17463315415e-06,7496.03052363
6.5378468691e-06,3670.61080599
6.90106058405e-06,1033.84856896
7.264274299e-06,1935.99294747
7.62748801395e-06,2243.91504553
7.9907017289e-06,6297.15832853
8.35391544385e-06,6454.64942918
8.7171291588e-06,1800.7612291
9.08034287375e-06,1924.41362396
9.4435565887e-06,3133.73260094
9.80677030365e-06,2548.55254982
1.01699840186e-05,1865.60166194
1.05331977335e-05,598.298152875
1.08964114485e-05,3693.31701564
1.12596251634e-05,1176.59726613
1.16228388784e-05,2386.61752614
1.19860525933e-05,5306.63412435
1.23492663083e-05,1186.60127413
1.27124800232e-05,3817.54516423
1.30756937382e-05,919.521535712
1.34389074531e-05,1031.12918748
1.38021211681e-05,2574.74422162
1.4165334883e-05,721.720055017
1.4528548598e-05,2736.50376717
1.48917623129e-05,3708.62567909
1.52549760279e-05,2658.9509755
1.56181897428e-05,3606.66977335
1.59814034578e-05,3784.0103571
1.63446171727e-05,1062.73090286
1.67078308877e-05,928.326870989
1.70710446026e-05,1508.25614624
1.74342583176e-05,1961.70969814
1.77974720325e-05,1889.7162132
1.81606857475e-05,3013.44013274
1.85238994624e-05,2145.09158251
1.88871131774e-05,1464.70722613
1.92503268923e-05,1402.80636156
1.96135406073e-05,1372.7036877
1.99767543222e-05,1214.02115292
2.03399680372e-05,402.420027941
2.07031817521e-05,370.491806956
2.10663954671e-05,1826.86837682
2.1429609182e-05,791.551409949
2.1792822897e-05,715.65837371
2.21560366119e-05,2213.87194007
2.25192503269e-05,686.085277846
2.28824640418e-05,2363.99939478
2.32456777568e-05,2791.9781358
2.36088914717e-05,610.540042329
2.39721051867e-05,1228.19852307
2.43353189016e-05,2130.21871666
2.46985326166e-05,2044.50205061
2.50617463315e-05,1350.5781774
2.54249600465e-05,2911.17584915
2.57881737614e-05,184.855899892
2.61513874764e-05,682.966036094
2.65146011913e-05,361.233199671
2.68778149063e-05,1454.39672671
2.72410286212e-05,1032.49760334
2.76042423362e-05,1415.16396187
2.79674560511e-05,935.777685917
2.83306697661e-05,2231.18699213
2.8693883481e-05,1086.37000914
2.9057097196e-05,1132.8783074
2.94203109109e-05,1083.10731353
2.97835246259e-05,1479.54814929
3.01467383408e-05,1190.33851616
3.05099520558e-05,1334.79925933
3.08731657707e-05,1298.3755067
3.12363794857e-05,1603.66769928
3.15995932006e-05,418.976629345
3.19628069156e-05,1333.3882916
3.23260206305e-05,929.938610312
3.26892343455e-05,991.558911001
3.30524480604e-05,1215.50940326
